team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Cleveland Guardians,away,José Ramírez,608070,777010,"Ramírez, José",L,122,112,38,25,8,1,4,8,11,0.3392857142857143,0.5357142857142857,28.4
Cleveland Guardians,away,José Ramírez,608070,777010,"Ramírez, José",R,286,252,72,43,11,1,17,25,35,0.2857142857142857,0.5396825396825397,28.4
Cleveland Guardians,away,Kyle Manzardo,700932,777010,"Manzardo, Kyle",L,54,47,9,2,2,1,4,5,14,0.1914893617021276,0.5319148936170213,25.4
Cleveland Guardians,away,Kyle Manzardo,700932,777010,"Manzardo, Kyle",R,265,234,54,31,10,1,12,26,65,0.2307692307692307,0.4358974358974359,25.4
Cleveland Guardians,away,Carlos Santana,467793,777010,"Santana, Carlos",L,116,100,24,18,2,0,4,12,18,0.24,0.38,25.4
Cleveland Guardians,away,Carlos Santana,467793,777010,"Santana, Carlos",R,272,229,51,39,5,0,7,35,55,0.222707423580786,0.3362445414847161,25.4
Cleveland Guardians,away,Gabriel Arias,672356,777010,"Arias, Gabriel",L,83,77,17,9,6,0,2,5,30,0.2207792207792207,0.3766233766233766,27.2
Cleveland Guardians,away,Gabriel Arias,672356,777010,"Arias, Gabriel",R,198,176,42,27,11,0,4,18,58,0.2386363636363636,0.3693181818181818,27.2
Cleveland Guardians,away,Daniel Schneemann,682177,777010,"Schneemann, Daniel",L,41,34,6,5,1,0,0,6,13,0.1764705882352941,0.2058823529411764,28.1
Cleveland Guardians,away,Daniel Schneemann,682177,777010,"Schneemann, Daniel",R,218,192,43,25,9,0,9,22,51,0.2239583333333333,0.4114583333333333,28.1
Cleveland Guardians,away,Brayan Rocchio,677587,777010,"Rocchio, Brayan",L,59,49,10,7,3,0,0,5,17,0.2040816326530612,0.2653061224489796,26.8
Cleveland Guardians,away,Brayan Rocchio,677587,777010,"Rocchio, Brayan",R,110,98,20,12,7,0,1,7,15,0.2040816326530612,0.3061224489795918,26.8
Cleveland Guardians,away,Bo Naylor,666310,777010,"Naylor, Bo",L,59,50,9,7,1,0,1,6,8,0.18,0.26,27.3
Cleveland Guardians,away,Bo Naylor,666310,777010,"Naylor, Bo",R,204,173,30,11,9,1,9,27,62,0.1734104046242774,0.3930635838150289,27.3
Detroit Tigers,home,Gleyber Torres,650402,777003,"Torres, Gleyber",L,101,82,23,12,8,0,3,17,8,0.2804878048780488,0.4878048780487805,26.1
Detroit Tigers,home,Gleyber Torres,650402,777003,"Torres, Gleyber",R,292,243,68,53,9,0,6,41,43,0.279835390946502,0.3909465020576131,26.1
Detroit Tigers,home,Riley Greene,682985,777003,"Greene, Riley",L,131,115,25,17,6,0,2,12,44,0.217391304347826,0.3217391304347826,26.8
Detroit Tigers,home,Riley Greene,682985,777003,"Greene, Riley",R,295,276,84,45,15,1,23,17,94,0.3043478260869565,0.6159420289855072,26.8
Detroit Tigers,home,Spencer Torkelson,679529,777003,"Torkelson, Spencer",L,120,100,27,10,8,0,9,17,22,0.27,0.62,26.6
Detroit Tigers,home,Spencer Torkelson,679529,777003,"Torkelson, Spencer",R,290,254,58,29,15,0,14,33,76,0.2283464566929134,0.452755905511811,26.6
Detroit Tigers,home,Colt Keith,690993,777003,"Keith, Colt",L,44,38,6,5,1,0,0,3,12,0.1578947368421052,0.1842105263157894,28.0
Detroit Tigers,home,Colt Keith,690993,777003,"Keith, Colt",R,275,238,65,40,15,2,8,34,53,0.2731092436974789,0.453781512605042,28.0
Detroit Tigers,home,Matt Vierling,663837,777003,"Vierling, Matt",L,26,23,5,5,0,0,0,3,7,0.217391304347826,0.217391304347826,27.7
Detroit Tigers,home,Matt Vierling,663837,777003,"Vierling, Matt",R,42,35,7,6,1,0,0,6,9,0.2,0.2285714285714285,27.7
Detroit Tigers,home,Wenceel Pérez,672761,777003,"Pérez, Wenceel",L,41,38,12,5,3,1,3,2,9,0.3157894736842105,0.6842105263157895,27.5
Detroit Tigers,home,Wenceel Pérez,672761,777003,"Pérez, Wenceel",R,129,118,26,17,4,1,4,11,28,0.2203389830508474,0.3728813559322034,27.5
Detroit Tigers,home,Javier Báez,595879,777003,"Báez, Javier",L,88,84,28,22,4,0,2,3,21,0.3333333333333333,0.4523809523809524,27.4
Detroit Tigers,home,Javier Báez,595879,777003,"Báez, Javier",R,214,199,49,31,9,1,8,11,48,0.2462311557788944,0.4221105527638191,27.4
Detroit Tigers,home,Zach McKinstry,656716,777003,"McKinstry, Zach",L,87,80,27,16,4,6,1,3,20,0.3375,0.575,28.3
Detroit Tigers,home,Zach McKinstry,656716,777003,"McKinstry, Zach",R,269,225,57,38,10,2,7,37,53,0.2533333333333333,0.4088888888888889,28.3
Detroit Tigers,home,Jake Rogers,668670,777003,"Rogers, Jake",L,21,14,1,1,0,0,0,6,4,0.0714285714285714,0.0714285714285714,26.8
Detroit Tigers,home,Jake Rogers,668670,777003,"Rogers, Jake",R,67,58,11,6,2,1,2,6,19,0.1896551724137931,0.3620689655172414,26.8
Pittsburgh Pirates,home,Spencer Horwitz,687462,777002,"Horwitz, Spencer",L,28,26,4,3,1,0,0,2,10,0.1538461538461538,0.1923076923076923,25.1
Pittsburgh Pirates,home,Spencer Horwitz,687462,777002,"Horwitz, Spencer",R,181,162,42,28,11,0,3,18,36,0.2592592592592592,0.382716049382716,25.1
Pittsburgh Pirates,home,Andrew McCutchen,457705,777002,"McCutchen, Andrew",L,98,87,27,20,6,0,1,10,24,0.3103448275862069,0.4137931034482758,27.2
Pittsburgh Pirates,home,Andrew McCutchen,457705,777002,"McCutchen, Andrew",R,272,235,55,38,9,0,8,28,53,0.2340425531914893,0.3744680851063829,27.2
Pittsburgh Pirates,home,Bryan Reynolds,668804,777002,"Reynolds, Bryan",L,105,97,23,12,5,0,6,7,36,0.2371134020618556,0.4742268041237113,27.9
Pittsburgh Pirates,home,Bryan Reynolds,668804,777002,"Reynolds, Bryan",R,314,286,67,45,16,2,4,24,78,0.2342657342657342,0.3461538461538461,27.9
Pittsburgh Pirates,home,Tommy Pham,502054,777002,"Pham, Tommy",L,61,55,13,11,1,0,1,4,15,0.2363636363636363,0.3090909090909091,27.5
Pittsburgh Pirates,home,Tommy Pham,502054,777002,"Pham, Tommy",R,196,169,46,33,9,1,3,19,43,0.272189349112426,0.3905325443786982,27.5
Pittsburgh Pirates,home,Oneil Cruz,665833,777002,"Cruz, Oneil",L,100,85,11,6,3,1,1,14,37,0.1294117647058823,0.2235294117647059,29.2
Pittsburgh Pirates,home,Oneil Cruz,665833,777002,"Cruz, Oneil",R,285,241,61,34,11,1,15,34,87,0.2531120331950207,0.4937759336099585,29.2
Pittsburgh Pirates,home,Ke'Bryan Hayes,663647,777002,"Hayes, Ke'Bryan",L,86,82,18,15,3,0,0,2,19,0.2195121951219512,0.2560975609756097,27.2
Pittsburgh Pirates,home,Ke'Bryan Hayes,663647,777002,"Hayes, Ke'Bryan",R,290,263,67,56,7,2,2,19,59,0.2547528517110266,0.3193916349809886,27.2
Pittsburgh Pirates,home,Joey Bart,663698,777002,"Bart, Joey",L,59,51,17,13,3,0,1,8,17,0.3333333333333333,0.4509803921568627,26.5
Pittsburgh Pirates,home,Joey Bart,663698,777002,"Bart, Joey",R,172,147,29,25,3,1,0,21,47,0.1972789115646258,0.2312925170068027,26.5
Pittsburgh Pirates,home,Liover Peguero,678894,777002,"Peguero, Liover",L,6,5,2,2,0,0,0,1,1,0.4,0.4,27.3
Pittsburgh Pirates,home,Liover Peguero,678894,777002,"Peguero, Liover",R,5,5,0,0,0,0,0,0,2,0.0,0.0,27.3
Pittsburgh Pirates,home,Isiah Kiner-Falefa,643396,777002,"Kiner-Falefa, Isiah",L,81,76,17,16,0,0,1,3,13,0.2236842105263158,0.2631578947368421,27.3
Pittsburgh Pirates,home,Isiah Kiner-Falefa,643396,777002,"Kiner-Falefa, Isiah",R,242,217,63,49,12,2,0,16,42,0.2903225806451613,0.3640552995391705,27.3
Arizona Diamondbacks,away,Ketel Marte,606466,777002,"Marte, Ketel",L,104,93,23,11,7,0,5,10,14,0.2473118279569892,0.4838709677419355,26.5
Arizona Diamondbacks,away,Ketel Marte,606466,777002,"Marte, Ketel",R,208,173,53,31,7,0,15,34,35,0.3063583815028902,0.6069364161849711,26.5
Arizona Diamondbacks,away,Corbin Carroll,682998,777002,"Carroll, Corbin",L,123,110,26,15,4,4,3,12,27,0.2363636363636363,0.4272727272727272,29.8
Arizona Diamondbacks,away,Corbin Carroll,682998,777002,"Carroll, Corbin",R,270,240,62,21,14,9,18,26,70,0.2583333333333333,0.6166666666666667,29.8
