team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,strikeouts,batting_average,slugging_percentage
Miami Marlins,away,Nick Fortes,663743,777129,"Fortes, Nick",R,69.0,62.0,18.0,14.0,1.0,1.0,2.0,2.0,10.0,0.2903225806451613,0.4354838709677419
New York Yankees,home,Paul Goldschmidt,502671,777122,"Goldschmidt, Paul",L,99.0,88.0,37.0,20.0,12.0,0.0,5.0,10.0,11.0,0.4204545454545454,0.7272727272727273
New York Yankees,home,Paul Goldschmidt,502671,777122,"Goldschmidt, Paul",R,259.0,239.0,59.0,45.0,10.0,1.0,3.0,15.0,49.0,0.2468619246861924,0.3347280334728033
New York Yankees,home,Cody Bellinger,641355,777122,"Bellinger, Cody",L,101.0,90.0,34.0,20.0,6.0,2.0,6.0,7.0,9.0,0.3777777777777777,0.6888888888888889
New York Yankees,home,Cody Bellinger,641355,777122,"Bellinger, Cody",R,271.0,244.0,62.0,39.0,12.0,1.0,10.0,22.0,45.0,0.2540983606557377,0.4344262295081967
New York Yankees,home,Aaron Judge,592450,777122,"Judge, Aaron",L,80.0,71.0,25.0,8.0,6.0,0.0,11.0,8.0,21.0,0.352112676056338,0.9014084507042254
New York Yankees,home,Aaron Judge,592450,777122,"Judge, Aaron",R,322.0,275.0,100.0,56.0,18.0,2.0,24.0,41.0,84.0,0.3636363636363636,0.7054545454545454
New York Yankees,home,Giancarlo Stanton,519317,777122,"Stanton, Giancarlo",L,14.0,13.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.1538461538461538,0.1538461538461538
New York Yankees,home,Giancarlo Stanton,519317,777122,"Stanton, Giancarlo",R,61.0,52.0,14.0,9.0,2.0,0.0,3.0,8.0,20.0,0.2692307692307692,0.4807692307692308
New York Yankees,home,Jazz Chisholm Jr.,665862,777122,"Chisholm Jr., Jazz",L,76.0,63.0,15.0,12.0,2.0,0.0,1.0,9.0,21.0,0.238095238095238,0.3174603174603174
New York Yankees,home,Jazz Chisholm Jr.,665862,777122,"Chisholm Jr., Jazz",R,191.0,162.0,43.0,19.0,8.0,0.0,16.0,25.0,51.0,0.2654320987654321,0.6111111111111112
New York Yankees,home,Jasson Domínguez,691176,777122,"Domínguez, Jasson",L,90.0,75.0,16.0,10.0,5.0,0.0,1.0,10.0,29.0,0.2133333333333333,0.32
New York Yankees,home,Jasson Domínguez,691176,777122,"Domínguez, Jasson",R,217.0,187.0,56.0,38.0,10.0,1.0,7.0,24.0,58.0,0.2994652406417112,0.4759358288770053
New York Yankees,home,Anthony Volpe,683011,777122,"Volpe, Anthony",L,110.0,96.0,28.0,17.0,8.0,0.0,3.0,11.0,23.0,0.2916666666666667,0.46875
New York Yankees,home,Anthony Volpe,683011,777122,"Volpe, Anthony",R,272.0,237.0,45.0,21.0,14.0,3.0,7.0,26.0,68.0,0.189873417721519,0.3628691983122363
New York Yankees,home,Austin Wells,669224,777122,"Wells, Austin",L,95.0,86.0,21.0,10.0,5.0,1.0,5.0,7.0,22.0,0.2441860465116279,0.5
New York Yankees,home,Austin Wells,669224,777122,"Wells, Austin",R,192.0,165.0,36.0,17.0,10.0,0.0,9.0,17.0,46.0,0.2181818181818181,0.4424242424242424
New York Yankees,home,Oswald Peraza,672724,777122,"Peraza, Oswald",L,58.0,54.0,7.0,4.0,3.0,0.0,0.0,4.0,21.0,0.1296296296296296,0.1851851851851851
New York Yankees,home,Oswald Peraza,672724,777122,"Peraza, Oswald",R,100.0,90.0,15.0,10.0,2.0,0.0,3.0,8.0,23.0,0.1666666666666666,0.2888888888888888
Chicago Cubs,away,Michael Busch,683737,777122,"Busch, Michael",L,56.0,48.0,11.0,7.0,2.0,0.0,2.0,6.0,15.0,0.2291666666666666,0.3958333333333333
Chicago Cubs,away,Michael Busch,683737,777122,"Busch, Michael",R,273.0,238.0,75.0,43.0,13.0,3.0,16.0,33.0,57.0,0.315126050420168,0.5966386554621849
Chicago Cubs,away,Kyle Tucker,663656,777122,"Tucker, Kyle",L,132.0,114.0,31.0,20.0,4.0,1.0,6.0,17.0,17.0,0.2719298245614035,0.4824561403508772
Chicago Cubs,away,Kyle Tucker,663656,777122,"Tucker, Kyle",R,270.0,230.0,68.0,40.0,14.0,3.0,11.0,35.0,41.0,0.2956521739130435,0.5260869565217391
Chicago Cubs,away,Seiya Suzuki,673548,777122,"Suzuki, Seiya",L,113.0,99.0,29.0,15.0,6.0,0.0,8.0,12.0,28.0,0.2929292929292929,0.5959595959595959
Chicago Cubs,away,Seiya Suzuki,673548,777122,"Suzuki, Seiya",R,279.0,252.0,66.0,29.0,17.0,3.0,17.0,19.0,76.0,0.2619047619047619,0.5555555555555556
Chicago Cubs,away,Pete Crow-Armstrong,691718,777122,"Crow-Armstrong, Pete",L,123.0,114.0,21.0,10.0,4.0,1.0,6.0,5.0,38.0,0.1842105263157894,0.3947368421052631
