player_id,player_name,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent
608369,"Seager, Corey",L,128,117,30,17,5,0,8,10,31,0.2564102564102564,0.5042735042735043
608369,"Seager, Corey",R,249,207,57,37,11,0,9,36,44,0.2753623188405797,0.45893719806763283
609280,"Andujar, Miguel",L,53,50,21,16,2,0,3,2,13,0.42,0.64
609280,"Andujar, Miguel",R,205,186,52,36,10,1,5,13,24,0.27956989247311825,0.42473118279569894
621020,"Swanson, Dansby",L,115,104,30,21,2,1,6,7,34,0.28846153846153844,0.5
621020,"Swanson, Dansby",R,357,325,80,56,11,1,12,23,97,0.24615384615384617,0.39692307692307693
621439,"Buxton, Byron",L,76,66,20,9,4,1,6,8,16,0.30303030303030304,0.6666666666666666
621439,"Buxton, Byron",R,293,262,73,42,10,3,18,24,84,0.2786259541984733,0.5458015267175572
621493,"Ward, Taylor",L,90,82,21,6,9,0,6,8,30,0.25609756097560976,0.5853658536585366
621493,"Ward, Taylor",R,419,358,84,43,17,2,22,46,108,0.2346368715083799,0.4776536312849162
621566,"Olson, Matt",L,136,122,33,21,8,0,4,10,39,0.27049180327868855,0.4344262295081967
621566,"Olson, Matt",R,393,330,87,50,22,0,15,61,85,0.2636363636363636,0.4666666666666667
624413,"Alonso, Pete",L,139,122,26,11,7,0,8,14,39,0.21311475409836064,0.4672131147540984
624413,"Alonso, Pete",R,371,320,93,49,23,1,20,44,76,0.290625,0.55625
624428,"Frazier, Adam",L,46,40,8,4,3,0,1,4,13,0.2,0.35
624428,"Frazier, Adam",R,281,254,71,58,10,0,3,20,41,0.2795275590551181,0.3543307086614173
630105,"Cronenworth, Jake",L,117,93,23,15,5,0,3,16,22,0.24731182795698925,0.3978494623655914
630105,"Cronenworth, Jake",R,255,209,52,34,11,1,6,39,53,0.24880382775119617,0.39712918660287083
641355,"Bellinger, Cody",L,125,112,39,25,6,2,6,9,10,0.3482142857142857,0.5982142857142857
641355,"Bellinger, Cody",R,349,314,77,45,14,3,15,27,51,0.24522292993630573,0.45222929936305734
641487,"Crawford, J.P.",L,150,123,25,18,4,0,3,23,22,0.2032520325203252,0.3089430894308943
641487,"Crawford, J.P.",R,353,306,89,70,13,0,6,39,70,0.2908496732026144,0.39215686274509803
641598,"Garver, Mitch",L,102,89,22,15,4,0,3,12,29,0.24719101123595505,0.39325842696629215
641598,"Garver, Mitch",R,109,97,18,14,1,0,3,12,37,0.18556701030927836,0.28865979381443296
641680,"Heim, Jonah",L,99,90,18,13,2,0,3,6,25,0.2,0.32222222222222224
641680,"Heim, Jonah",R,234,213,48,32,10,0,6,15,51,0.22535211267605634,0.3568075117370892
641857,"McMahon, Ryan",L,109,99,20,15,3,0,2,10,37,0.20202020202020202,0.29292929292929293
